gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,0,-0.712073292837392,1,0,1.3386202061437797,-0.3117682974537536,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,1
0,0,0,0,1.5297851402675717,0,1,-0.6735620095773465,0.3395769609110021,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0
0,0,1,1,-1.1196839170382944,1,1,0.6235471873337927,-0.8320631017412572,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,1,1,-0.019135231695857704,1,0,0.8231024483970448,0.27055308186441845,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,1,1,1,0.5515196421854057,1,1,1.5082421780475443,1.1845290127255772,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0
1,0,0,0,-0.9158786049378431,1,0,-1.3021610819265907,-0.8994314672194067,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
1,0,1,1,-0.1821794813762187,1,0,-0.015029648068614022,-0.21490971694322938,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0
1,1,1,0,0.10314795556441304,1,1,1.1956056023817823,0.5070487134938068,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0
1,1,1,0,0.06238689314432279,1,1,0.6767619236173268,0.25847886957197147,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0
0,0,1,1,-0.1006573565360382,1,0,-1.5150200270607266,-0.7443429561284898,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,1,0,0.5107585797653155,1,1,1.0093540253894138,0.881547956187871,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0
1,0,1,1,-0.9158786049378431,1,1,-1.3453980551569622,-0.8984160855641002,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,1,0,-1.1196839170382944,1,0,0.10304054806047677,-0.8558583500982182,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1
1,0,0,0,-1.1196839170382944,0,1,-0.4607030644432108,-0.8754375572342334,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,1
0,0,0,0,-0.8343564800976626,1,0,-1.4867496984100992,-0.895414087626673,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0
1,0,0,0,-0.05989629411594795,1,0,-1.4784348958657971,-0.7416058403620119,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,1,0,0,-1.2827281667186554,1,1,0.4772066625540746,-0.9755409443388888,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
0,0,0,0,-1.2827281667186554,1,0,0.20115521808324252,-0.9792051477036897,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
1,0,0,0,-0.019135231695857704,1,0,0.8713283031539976,0.25717653223146997,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
1,0,1,1,-0.712073292837392,1,1,-1.4917385799366805,-0.8833398753342261,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,-0.5897901055771212,1,1,0.36745126896928604,-0.40434461620059464,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
1,0,0,0,0.5515196421854057,1,1,0.9993762623362513,0.9420956057640713,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,0
0,0,0,0,-1.2827281667186554,1,0,-0.6885286541570904,-0.9910144778251871,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,1,0,0.38847539250504476,1,0,-1.4800978563746574,-0.626470390055974,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,-0.4267458558967602,1,1,1.193942641872922,-0.08562514400564049,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,1,1,-0.8751175425177529,0,0,-0.4756697090229548,-0.7609201653270777,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
0,1,0,0,-1.2419671042985652,1,1,0.4555881759388888,-0.9444835097950629,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
1,1,0,0,0.26619220524477405,1,1,1.0243206699691578,0.6490034836084789,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1
0,0,0,1,-0.8751175425177529,0,1,-0.9579282565924809,-0.8327694541971224,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0
0,1,1,0,-0.22294054379630893,1,0,0.6318619898780948,0.0093792613082373,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0
0,0,0,0,-1.2419671042985652,1,1,-1.4734460143392158,-0.9956719893310487,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1,0,0,0,-1.201206041878475,1,1,1.1257612610096444,-0.8808676417386977,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,1
0,0,1,0,1.6113072651077522,1,0,-1.4751089748480761,-0.34730665538947464,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,1,1,1.6113072651077522,1,1,1.4749829678703357,2.3938706377096444,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
1,0,1,1,1.5297851402675717,1,1,1.3702164558121281,2.324383214863899,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0
1,0,0,0,0.6330417670255862,1,0,-1.4867496984100992,-0.576562174346244,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,1,1,1.6113072651077522,1,1,1.0060281043716928,2.010541989317265,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0
0,0,0,0,-0.8751175425177529,1,0,-0.5421881293773722,-0.7893287781614088,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,0,1,1,0.755324954285857,1,1,0.16290712637945234,0.5622324991082804,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,0
1,0,0,0,-1.2419671042985652,1,0,-1.466794172303774,-0.9909924043109414,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1,0,0,0,1.4890240778474815,1,1,1.5032532965209628,2.2699499287337828,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,0,1,0,1.570546202687662,0,0,0.06479245635668657,1.0596149956086542,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,0
0,1,1,1,-0.14141841895612844,0,1,-0.9712319406633644,-0.5579321283227977,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,0
1,0,1,0,0.06238689314432279,1,0,0.7981580407641383,0.31401583141437783,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
0,0,0,0,-0.9158786049378431,1,0,-0.45405122240776896,-0.7905428214449272,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,1,1,-0.7935954176775724,1,0,-1.463468251286053,-0.890270958807404,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,1,0,0,-1.2827281667186554,1,1,0.3192254142123333,-0.9776379281922388,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
0,0,0,0,0.5107585797653155,1,1,0.8131246853438823,0.8402042640055071,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0
1,1,0,0,-0.9974007297780236,1,0,1.178975997293178,-0.643047599254562,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,1
0,0,1,0,1.1629355784867594,1,0,-1.3154647659974745,-0.3240632448886583,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
1,0,1,1,-0.8751175425177529,1,0,-1.5033793034987035,-0.9108434740844797,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,1,0,1.24445770332694,1,1,1.4600163232905916,2.0231459659516102,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0
0,0,0,0,0.3477143300849545,1,0,-0.49229931411155914,-0.11474010929583682,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
0,0,0,0,-0.9566396673579334,1,1,0.34416982184523986,-0.7306794508103461,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,0,0,0,-0.22294054379630893,1,1,-0.2711255664331211,-0.28077708345266517,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,0,0,0,-1.0381617921981139,1,1,1.1623463922045736,-0.7132855215846641,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,0,-1.2419671042985652,1,0,0.4888473861160975,-0.9435122751682482,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,0,0,0,-0.46750691831685043,1,1,-1.4800978563746574,-0.823895901470315,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
1,0,0,1,0.9591302663863083,1,1,-1.3320943710860789,-0.381763411127152,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,0,1,0.429236454925135,1,1,-0.02999629264835803,0.19782085242454214,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0
0,1,0,0,0.30695326766486425,1,1,0.8879579082426019,0.6112798477624246,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
0,1,0,0,-1.1604449794583847,1,1,0.7981580407641383,-0.8460797832873335,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
1,0,1,1,-0.7528343552574821,1,1,0.019892522617455017,-0.5965828517671752,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
1,0,0,0,1.3259798281671205,1,0,-1.3004981214177305,-0.2799824369398168,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,0,0,-1.201206041878475,1,1,0.33585501930093764,-0.9167371023881056,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,1,1,0,0.38847539250504476,1,1,0.3092476511591708,0.415178747202831,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,0,0,0,-0.1821794813762187,1,0,-0.35094767085842216,-0.3278598893389341,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0
0,0,0,0,0.3477143300849545,1,1,-1.4967274614632617,-0.6527157984942177,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,1,0,0,-0.019135231695857704,1,0,0.8680023821362769,0.2688534212674925,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
1,0,0,1,1.4482630154273912,1,1,0.719998896847698,1.5865539276841407,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0
1,0,1,1,1.081413453646579,1,1,1.1523686291514113,1.577283051700909,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1,0,1,0,1.1629355784867594,1,1,1.637953097738658,2.138126901657928,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0
0,0,0,0,-1.0789228546182041,1,1,0.811461724835022,-0.7954872886359841,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,0
0,0,1,0,0.021625830724232544,1,1,1.2937202724045482,0.4732983102119947,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,1
0,0,1,0,-0.7528343552574821,1,1,-0.005051885015451507,-0.5950818527984615,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
1,0,1,0,1.1221745160666692,1,0,1.2072463259438058,1.668071415793841,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1,0,1,0,1.6113072651077522,1,1,1.1490427081336905,2.2059146639067473,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,0
0,0,0,0,-1.2419671042985652,1,1,-0.1946293830255412,-0.9601115578810818,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
1,0,0,0,-0.9974007297780236,1,1,-0.6552694439798817,-0.8169648179971372,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
0,0,1,1,0.6330417670255862,1,0,-1.4917385799366805,-0.5973333512515319,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,1,0,1.4890240778474815,1,1,-0.11314431809137979,0.8132966501398897,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0
1,1,1,0,1.6113072651077522,1,1,0.6634582395464431,1.7008505844488384,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0
1,0,1,1,-1.1604449794583847,1,0,1.2072463259438058,-0.8401420079552161,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,0,-1.2827281667186554,1,0,0.20780706011868388,-0.9791168536467066,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
0,0,0,0,1.4482630154273912,0,0,-0.8631395075874361,0.18994060783879516,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,0
1,1,0,0,-0.712073292837392,1,1,0.31091061166803113,-0.5099222348382056,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
1,0,0,0,0.18467008040459354,1,0,0.02488140414403604,0.010968554333934302,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0
0,0,1,1,1.2852187657470302,1,0,-1.4983904219721222,-0.4204141345715293,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
0,0,1,1,0.5515196421854057,1,0,-1.3271054895594974,-0.49579518572090037,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
1,0,0,1,-0.1006573565360382,1,0,-0.011703727050893342,-0.1584898145309915,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,0
0,1,1,0,-0.5082679807369407,1,0,0.8630135006096954,-0.14919686503351418,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
1,0,0,0,-1.201206041878475,1,1,0.14960344230856867,-0.926030051885583,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,1
1,0,1,0,1.5297851402675717,1,0,0.3741031110047274,1.3135045564637249,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0
0,0,0,0,1.6113072651077522,1,1,0.6601323185287225,1.7200545418426754,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
0,0,0,0,-1.1196839170382944,1,0,0.3558105454072627,-0.827891207548803,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,0,0,0.5515196421854057,1,0,1.037624354040041,0.9317431275827961,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1
1,1,1,0,1.6113072651077522,1,1,0.2859662040351246,1.3420897574120223,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1,0,1,1,1.6113072651077522,1,1,0.3508216638806817,1.4088621380055355,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0
1,0,1,0,1.6113072651077522,1,1,1.7610121753943302,2.823575739532428,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,1
1,0,0,1,-0.46750691831685043,1,0,-1.505042264007564,-0.8352416877926508,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,1,0,0,-0.712073292837392,1,0,0.831417250941347,-0.38143230841346515,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
1,0,0,1,-1.0789228546182041,1,0,-1.2805425953114051,-0.9292527849654681,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1,0,0,0,-1.1604449794583847,1,0,0.4522622549211681,-0.864798123367763,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,1,1,0,1.3667408905872107,1,1,0.19949225757438172,1.0815560687689694,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0
0,0,1,1,0.5515196421854057,1,1,-1.516682987569587,-0.6289867706799941,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,0,0,-0.7528343552574821,1,0,0.34915870337182087,-0.5575789520948651,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,1,0.755324954285857,0,0,-1.0194577954203168,-0.22380534318428258,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
0,0,1,1,1.4890240778474815,1,0,-1.501716342989843,-0.393815549905353,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0,1,0,0.755324954285857,0,1,-0.5056029981824426,0.11672276108551152,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0
1,0,1,1,1.6113072651077522,1,1,1.3319683641083384,2.3268113014309364,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,0,0,-1.2827281667186554,1,1,0.17953673146805668,-0.979492103388885,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,1,0,1.570546202687662,1,1,-1.3503869366835435,-0.24545946065940202,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0,0,0,-0.8343564800976626,1,0,-1.4900756194278202,-0.8926328248317035,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0
0,0,0,0,0.7145638918657667,1,1,0.8264283694147659,0.8898034505157961,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,0
0,0,1,1,-0.9974007297780236,1,1,-1.4967274614632617,-0.9457858471355646,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,1,0,0,-0.6713122304173017,1,1,-0.35759951289386377,-0.6180383076140825,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,0,0,-0.9158786049378431,1,1,1.1257612610096444,-0.5808444361099272,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,0,-0.34522373105657966,1,1,0.9544763285970193,-0.01099459234062622,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,0,1.6113072651077522,1,0,0.15958120536173165,1.156341135033704,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0
0,0,0,0,-0.9974007297780236,1,0,-1.463468251286053,-0.9391417193475818,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
1,0,1,1,-1.2419671042985652,1,0,-0.17799977793693683,-0.9528935187227087,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
0,1,0,0,-1.0381617921981139,1,1,0.003262917528850668,-0.7925735847555397,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0
1,0,0,0,-1.2419671042985652,1,1,1.0309725120045992,-0.9232267155763677,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,0,-1.2827281667186554,1,1,-0.48897339309383825,-0.9883656561156924,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,0,1,1,1.570546202687662,1,0,-1.3620276602455665,-0.29249811951717936,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0,0,0,-1.201206041878475,1,1,0.15791824485287084,-0.9189444538126845,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,0,0,0,-1.2827281667186554,1,0,-1.5216718690961684,-1.0020733084623277,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,1,0,0.22543114282468377,1,0,1.002702183353972,0.5749247697996094,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0
0,0,0,0,0.22543114282468377,1,0,-1.4900756194278202,-0.7111002436743309,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
0,0,0,0,1.570546202687662,1,1,1.3934979029361743,2.2048330617087037,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1,0,1,1,1.570546202687662,1,0,0.8330802114502078,1.8401344593397702,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,0,0,-1.2827281667186554,1,0,-1.4618052907771928,-1.0012786619494791,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,0,0,-1.201206041878475,1,1,0.48385850458951646,-0.9199819089822365,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,0,1.3259798281671205,1,0,-1.513357066551866,-0.427786688329623,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
1,0,1,0,1.570546202687662,1,1,1.709460399619657,2.770577231828288,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0
1,0,0,1,-0.3859847934766699,1,0,-1.4983904219721222,-0.805023046790165,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
1,0,0,0,-0.9566396673579334,1,0,0.003262917528850668,-0.7686679688273498,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0
0,1,0,0,-0.8751175425177529,1,1,1.002702183353972,-0.5159262307130604,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,1,0,-1.2827281667186554,1,1,-0.3176884606812135,-0.986092084148376,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
